Views,Watch time (hours),Average view duration (Seconds),Average percentage viewed (%),Likes,Dislikes,Likes (vs. dislikes) (%),Comments added,Shares,Subscribers,Subscribers gained,Subscribers lost,Videos published,Estimated revenue (USD)
5093,128.0878,90,39.06,44,0,100,1,24,4,4,0,0,0
5091,130.2409,92,42.93,38,3,92.68,0,12,0,2,2,0,0
5088,128.2939,90,43.17,86,3,96.63,2,33,9,11,2,0,0
5076,129.979,92,43.73,85,1,98.84,3,39,11,11,0,0,0
5061,137.5188,97,41.84,29,2,93.55,0,13,3,3,0,0,0
5051,130.8394,93,40.12,48,8,85.71,0,26,-1,2,3,0,0
5047,130.9765,93,40.02,54,3,94.74,2,23,4,4,0,0,0
5044,115.0256,82,46.25,45,6,88.24,3,2,4,8,4,0,0.267
5028,119.7009,85,36.24,30,1,96.77,0,6,4,5,1,0,0
5025,132.8708,95,38.9,44,1,97.78,1,6,4,7,3,0,0
5023,126.912,90,44.17,97,5,95.1,8,27,11,13,2,0,0
5019,100.9025,72,60.1,188,9,95.43,16,141,17,17,0,0,0.005
5015,104.1996,74,51.52,37,2,94.87,0,18,4,6,2,0,0
5010,100.9726,72,60.55,221,8,96.51,9,135,15,17,2,0,0.008
4998,94.8691,68,55.2,130,13,90.91,7,88,8,9,1,0,0
4994,128.0515,92,38.58,63,1,98.44,1,9,0,2,2,0,0
4985,118.4401,85,43.25,106,3,97.25,4,41,13,17,4,0,0
4982,127.6092,92,41.47,49,1,98,3,23,2,2,0,0,0
4978,122.7754,88,38.88,42,1,97.67,0,18,4,5,1,0,0
4975,130.9709,94,40.47,78,2,97.5,0,17,1,2,1,0,0
4974,126.9506,91,38.33,56,3,94.92,1,16,2,7,5,0,0
4973,136.5209,98,40.01,46,1,97.87,3,21,-1,4,5,0,0
4967,109.3934,79,42.66,48,4,92.31,1,1,5,5,0,0,0.338
4950,130.1283,94,39.51,63,0,100,1,9,-1,1,2,0,0
4949,121.0661,88,37.16,35,2,94.59,1,17,2,7,5,0,0
4941,204.6602,149,27.01,38,25,60.32,10,4,7,14,7,0,1.415
4934,126.3399,92,38.02,36,1,97.3,1,12,-2,3,5,0,0
4933,125.7358,91,38.52,37,1,97.37,2,13,6,8,2,0,0
4932,114.1024,83,36.16,50,2,96.15,2,14,-2,2,4,0,0
4912,125.4159,91,39.17,31,4,88.57,2,12,-1,0,1,0,0
4903,129.5989,95,39.53,57,4,93.44,1,17,4,8,4,0,0
4894,124.1514,91,41.09,28,3,90.32,0,12,4,5,1,0,0
4892,102.4864,75,60.47,193,9,95.54,15,156,17,22,5,0,0.004
4863,127.4112,94,38.91,44,1,97.78,1,12,3,4,1,0,0
4861,126.5547,93,38.77,49,1,98,0,7,-1,1,2,0,0
4856,130.2763,96,41.71,38,2,95,2,15,0,1,1,0,0
4850,120.1317,89,40.36,37,5,88.1,3,5,-2,4,6,0,0
4849,121.4004,90,43.36,95,5,95,5,34,3,10,7,0,0
4828,119.6591,89,42.62,96,7,93.2,8,38,3,9,6,0,0
4827,96.1975,71,55.32,178,6,96.74,9,85,11,15,4,0,0
4825,159.6046,119,46.84,9,0,100,0,6,1,1,0,0,0.006
4820,127.1371,94,40.42,32,1,96.97,1,13,0,1,1,0,0
4813,128.9369,96,41.56,45,0,100,2,12,2,2,0,0,0
4809,120.6119,90,37.73,37,3,92.5,0,18,5,7,2,0,0
4802,116.106,87,41.89,64,2,96.97,2,30,1,2,1,0,0
4793,135.6701,101,42.19,53,1,98.15,3,16,0,3,3,0,0
4792,92.9672,69,54.28,193,7,96.5,6,107,10,13,3,0,0.003
4778,117.852,88,35.92,27,1,96.43,0,10,1,5,4,0,0
4767,128.3401,96,40.34,48,2,96,1,22,1,2,1,0,0
4763,139.8674,105,41.29,12,1,92.31,3,29,3,3,0,0,0.013
4754,115.0303,87,42.99,119,1,99.17,3,39,1,9,8,0,0
4743,118.5275,89,45.64,101,4,96.19,8,19,12,14,2,0,0
4734,117.3849,89,37.87,34,1,97.14,1,10,-2,1,3,0,0
4716,99.9396,76,60.75,219,11,95.22,14,139,13,13,0,0,0
4715,102.2813,78,33.41,15,0,100,0,7,2,4,2,0,0.069
4712,121.1819,92,37.66,34,1,97.14,1,18,2,5,3,0,0
4709,116.2927,88,38.24,29,0,100,2,18,2,5,3,0,0
4696,113.9028,87,36.88,40,5,88.89,2,19,4,7,3,0,0
4696,122.8612,94,39.06,37,3,92.5,0,9,3,6,3,0,0
4695,107.3172,82,42.12,42,6,87.5,1,2,5,6,1,0,0.286
4692,116.42,89,42.92,94,2,97.92,6,30,4,6,2,0,0
4690,121.1068,92,38.33,44,1,97.78,1,22,-2,1,3,0,0
4686,125.514,96,44.53,81,4,95.29,7,44,10,10,0,0,0
4677,114.6099,88,38.52,45,2,95.74,1,8,5,5,0,0,0
4662,123.6304,95,40.62,43,2,95.56,2,15,0,2,2,0,0
4661,110.3015,85,37.02,34,2,94.44,0,16,-2,2,4,0,0
4648,108.4295,83,36.43,39,3,92.86,1,0,8,11,3,0,0.549
4648,116.5327,90,41.78,54,4,93.1,8,19,4,8,4,0,0
4648,119.0654,92,38.21,25,2,92.59,1,13,3,4,1,0,0
4643,98.5419,76,60.32,198,7,96.59,15,152,13,14,1,0,0
4641,109.5986,85,47.99,29,6,82.86,1,1,1,4,3,0,0.181
4632,118.4157,92,39.05,43,3,93.48,3,15,2,2,0,0,0
4632,117.9627,91,40.26,39,0,100,0,10,3,5,2,0,0
4628,188.7111,146,28.03,17,31,35.42,3,11,4,9,5,0,1.113
4628,121.1432,94,40.35,41,3,93.18,1,7,2,3,1,0,0
4627,117.0495,91,38.78,51,2,96.23,2,8,0,3,3,0,0
4625,71.5602,55,42.29,48,1,97.96,8,7,2,6,4,0,0.189
4618,113.032,88,42.63,56,7,88.89,5,39,6,7,1,0,0
4617,117.2159,91,38.29,51,-1,102,0,6,1,3,2,0,0
4615,98.3688,76,39.79,53,0,100,5,2,5,7,2,0,0.37
4615,122.1605,95,38.49,45,-1,102.27,1,7,2,2,0,0,0
4611,119.6303,93,38.64,34,2,94.44,1,7,2,4,2,0,0
4610,127.8546,99,42.06,25,0,100,2,17,-3,2,5,0,0
4608,115.3003,90,39.03,56,2,96.55,1,10,4,8,4,0,0
4605,117.879,92,45.06,107,1,99.07,7,34,6,10,4,0,0
4600,115.3827,90,38.6,58,6,90.63,1,16,0,2,2,0,0
4597,117.5624,92,38.99,40,3,93.02,5,17,4,5,1,0,0
4589,122.5854,96,41.26,62,3,95.38,3,19,0,2,2,0,0
4582,113.5787,89,37.52,56,1,98.25,1,5,-1,0,1,0,0
4579,114.9179,90,42.57,80,1,98.77,4,37,11,13,2,0,0
4567,89.8538,70,40.25,56,1,98.25,18,5,-3,8,11,2,0.221
4563,76.9799,60,52.07,46,2,95.83,2,1,-6,0,6,0,0.149
4549,116.8845,92,41,32,2,94.12,4,2,-1,4,5,0,0.247
4533,73.5496,58,45.55,34,4,89.47,4,5,7,7,0,0,0.114
4507,196.8155,157,32.38,39,13,75,4,4,10,16,6,0,1.175
4496,211.4786,169,31.8,25,11,69.44,6,8,2,7,5,0,1.222
4489,188.0774,150,29.54,40,15,72.73,2,5,10,10,0,0,1.078
4414,199.2035,162,39.47,74,5,93.67,6,9,16,18,2,0,2.458
4403,104.7777,85,42.36,34,4,89.47,7,4,-2,3,5,0,0.384
4385,91.6445,75,44,38,1,97.44,1,4,0,4,4,0,0.19
4364,171.5622,141,20.78,40,1,97.56,9,6,-7,4,11,0,2.372
4336,195.2977,162,31.31,38,13,74.51,2,7,4,11,7,0,1.331
4332,107.6668,89,41.69,38,0,100,1,3,1,7,6,0,0.325
4325,145.0905,120,29.32,34,3,91.89,1,4,6,9,3,0,1.218
4305,105.4694,88,43.3,37,1,97.37,1,1,-5,0,5,0,0.187
4218,158.7603,135,40.72,42,5,89.36,2,5,13,15,2,0,1.894
4200,112.7565,96,43.83,34,4,89.47,4,1,2,5,3,0,0.256
4142,108.4466,94,36.87,40,2,95.24,2,2,4,7,3,0,0.361
4131,98.4774,85,44.53,32,6,84.21,2,1,3,4,1,0,0.277
4129,102.8435,89,43.4,30,3,90.91,4,1,4,7,3,0,0.343
4090,156.2538,137,38.67,59,2,96.72,6,1,19,19,0,0,1.652
3974,167.5705,151,36.79,21,12,63.64,6,4,8,12,4,0,0.772
3939,121.8357,111,34.77,33,4,89.19,0,1,5,7,2,0,0.566
3939,89.3721,81,42.67,19,4,82.61,3,1,5,6,1,0,0.174
3890,108.1337,100,38.44,34,0,100,4,2,4,9,5,0,0.465
3835,66.4084,62,50.82,26,2,92.86,0,3,-3,1,4,0,0.101
3831,135.0781,126,29.18,32,3,91.43,4,0,7,10,3,0,1.419
3825,90.3734,85,42.43,36,1,97.3,4,0,1,4,3,0,0.288
3824,108.595,102,37.12,43,1,97.73,0,0,7,7,0,0,0.461
3745,140.4824,135,37.12,30,2,93.75,0,4,3,10,7,0,0.852
3682,140.036,136,21.48,21,7,75,11,3,1,5,4,0,2.718
3670,86.0368,84,41.6,38,4,90.48,2,0,-1,1,2,0,0.22
3629,114.1888,113,38.17,38,3,92.68,1,3,1,9,8,0,0.788
3624,100.5618,99,35.11,30,3,90.91,6,0,1,6,5,0,0.509
3598,107.7273,107,27.13,21,4,84,7,2,0,6,6,0,1.892
3518,132.6393,135,40.03,39,4,90.7,4,4,14,18,4,0,2.037
3515,100.2817,102,43.31,32,6,84.21,2,0,0,5,5,0,0.272
3504,77.5627,79,40.97,35,2,94.59,5,0,2,5,3,0,0.222
3500,137.1391,141,39.56,21,11,65.63,8,2,0,8,8,0,0.809
3467,131.3931,136,38.18,23,4,85.19,1,8,-1,5,6,0,0.64
3443,81.4016,85,39.83,18,1,94.74,6,1,-1,0,1,0,0.316
3388,150.7348,160,37.89,34,11,75.56,4,3,-1,3,4,0,0.851
3383,129.3626,137,40.4,57,5,91.94,5,8,13,13,0,0,1.833
3300,73.2476,79,41.97,23,2,92,1,1,-2,0,2,0,0.177
3267,95.2124,104,36.38,25,0,100,4,0,2,6,4,0,0.531
3218,103.206,115,37.97,20,2,90.91,0,3,2,5,3,0,0.305
3206,132.7976,149,32.28,14,8,63.64,6,0,3,7,4,0,0.88
3197,270.7534,304,31,39,2,95.12,3,0,6,9,3,0,4.219
3188,81.0972,91,38.2,23,0,100,2,2,-1,1,2,0,0.389
3137,99.8263,114,37.62,27,5,84.38,5,1,-4,2,6,0,0.447
3127,103.6472,119,43.4,18,5,78.26,3,5,3,6,3,0,0.332
3111,92.713,107,36.93,25,1,96.15,3,3,1,5,4,0,0.176
3088,118.536,138,34.81,29,7,80.56,1,7,-1,5,6,0,1.098
3081,76.1158,88,42.23,29,4,87.88,0,0,-2,2,4,0,0.22
3078,77.2362,90,43.71,37,3,92.5,3,2,0,2,2,0,0.228
3078,85.524,100,39.5,20,1,95.24,2,3,0,2,2,0,0.252
3066,53.7614,63,49.63,28,2,93.33,2,3,2,4,2,0,0.133
3037,114.9966,136,33.6,25,8,75.76,6,9,2,5,3,0,0.667
3022,75.6507,90,35.6,27,4,87.1,3,1,-4,0,4,0,0.22
2990,75.7475,91,38.83,37,2,94.87,1,1,3,5,2,0,0.296
2988,85.4413,102,41.06,37,2,94.87,1,1,2,5,3,0,0.296
2976,213.5694,258,29.34,30,7,81.08,1,3,6,9,3,1,3.746
2974,91.9052,111,39.59,57,4,93.44,6,3,-3,7,10,1,0.67
2954,206.8328,252,32.86,51,6,89.47,17,0,11,19,8,8,3.957
2925,175.9534,216,41.24,15,10,60,15,1,-3,1,4,0,1.598
2893,220.1259,273,29.19,35,5,87.5,4,2,7,9,2,0,4.223
2892,177.5651,221,43.22,15,9,62.5,7,0,1,5,4,0,1.535
2871,88.7147,111,41.94,27,3,90,2,1,-2,3,5,0,0.294
2869,90.9917,114,41.78,25,0,100,4,2,6,7,1,0,0.44
2777,72.6222,94,39.63,31,1,96.88,3,0,2,7,5,0,0.344
2774,84.5652,109,29.07,39,4,90.7,11,1,-11,2,13,1,1.219
2757,104.4346,136,35.78,23,5,82.14,5,4,4,7,3,0,0.893
2756,107.6318,140,40.37,17,6,73.91,2,6,3,5,2,0,0.541
2755,127.4036,166,43.31,29,1,96.67,4,2,1,2,1,0,0.822
2719,104.8637,138,36.26,23,4,85.19,3,4,8,12,4,0,0.702
2711,109.7367,145,34.71,15,6,71.43,2,3,-1,2,3,0,0.587
2708,107.4622,142,31.45,25,4,86.21,3,2,15,15,0,0,0.895
2685,193.7436,259,29.57,28,6,82.35,6,3,14,17,3,1,3.377
2685,122.2482,163,40.01,16,8,66.67,0,4,5,6,1,0,1.368
2679,100.2701,134,37.84,25,3,89.29,5,2,6,10,4,0,0.491
2671,54.7408,73,46.41,28,3,90.32,5,0,1,5,4,0,0.15
2661,106.2872,143,33.08,21,5,80.77,1,2,4,6,2,0,0.75
2661,69.0327,93,40.09,30,1,96.77,3,0,4,6,2,0,0.421
2652,53.0263,71,46.79,28,2,93.33,3,0,-1,2,3,0,0.073
2642,95.3757,129,34.19,21,3,87.5,4,10,1,5,4,0,0.546
2597,102.4862,142,31.05,24,5,82.76,1,5,5,13,8,0,0.848
2589,47.4207,65,49.28,20,5,80,2,3,0,4,4,0,0.093
2583,107.354,149,33.87,24,2,92.31,2,2,-1,7,8,0,0.298
2526,76.0343,108,36.81,33,1,97.06,0,0,0,3,3,0,0.449
2510,101.427,145,33.35,19,5,79.17,2,1,6,12,6,0,0.72
2505,104.6831,150,33.66,26,1,96.3,4,2,1,4,3,0,0.461
2500,134.0897,193,44.59,16,5,76.19,9,0,1,3,2,0,0.838
2478,99.8382,145,40.5,11,7,61.11,3,4,3,5,2,0,0.797
2465,94.221,137,34.83,21,4,84,0,2,1,6,5,0,0.545
2465,45.8368,66,45.36,22,1,95.65,2,3,0,2,2,0,0.105
2464,110.9005,162,31.82,15,14,51.72,3,1,4,7,3,0,1.176
2432,102.9893,152,33.42,18,2,90,8,2,-3,4,7,0,0.346
2426,96.9704,143,31.86,17,3,85,0,6,6,6,0,0,0.65
2410,101.4009,151,40.44,13,5,72.22,1,4,0,6,6,0,0.551
2405,97.6081,146,33.61,46,5,90.2,8,4,-23,1,24,1,0.652
2392,103.6685,156,33.63,16,1,94.12,1,4,5,9,4,0,0.377
2390,67.4947,101,38.83,24,1,96,1,1,0,4,4,0,0.276
2385,91.0919,137,32.74,16,-1,106.67,3,3,2,4,2,0,0.542
2380,103.0541,155,34.82,20,4,83.33,4,7,-5,2,7,0,0.328
2371,72.0486,109,39.52,20,2,90.91,5,0,0,4,4,0,0.51
2367,153.0648,232,30.34,30,5,85.71,0,0,12,14,2,0,1.531
2363,79.131,120,41.28,15,4,78.95,1,1,3,5,2,0,0.38
2358,48.6251,74,44.64,15,2,88.24,2,0,0,4,4,0,0.114
2352,44.1706,67,56.02,13,3,81.25,3,0,0,2,2,0,0.107
2348,66.0482,101,38.1,22,0,100,3,0,-2,2,4,0,0.263
2341,69.0004,106,36.88,27,1,96.43,5,0,1,5,4,0,0.462
2334,262.9608,405,39.7,29,3,90.63,1,2,9,11,2,0,3.081
2332,73.051,112,31.59,13,5,72.22,2,3,5,7,2,0,0.369
2297,94.6924,148,35.13,13,8,61.9,2,3,3,4,1,0,0.661
2296,82.8413,129,38.5,20,3,86.96,4,6,0,2,2,0,0.291
2285,80.0167,126,36.53,18,2,90,5,5,2,4,2,0,0.27
2281,72.2745,114,39.52,18,4,81.82,2,0,-3,0,3,0,0.342
2278,92.4378,146,39.81,26,1,96.3,1,2,4,8,4,0,0.671
2273,100.4127,159,30.83,9,2,81.82,1,1,1,5,4,0,1.039
2272,94.2974,149,30.93,12,6,66.67,3,1,1,7,6,0,0.827
2266,60.4786,96,39.92,17,3,85,0,0,0,4,4,0,0.351
2252,72.5909,116,31.79,24,4,85.71,4,5,1,5,4,0,0.53
2239,92.7987,149,34.09,20,3,86.96,2,4,-2,1,3,0,0.321
2224,96.3879,156,33.26,16,3,84.21,2,0,5,10,5,0,0.575
2223,74.1332,120,30.16,32,3,91.43,1,3,4,8,4,0,0.332
2223,78.8795,127,37.51,24,4,85.71,6,6,-2,6,8,0,0.334
2222,94.3102,152,42.8,10,2,83.33,2,4,-1,2,3,0,0.744
2203,49.0852,80,41.62,23,2,92,2,0,-4,2,6,0,0.121
2193,93.8946,154,34.52,23,4,85.19,2,2,0,5,5,0,0.278
2188,68.2688,112,35.5,16,3,84.21,2,1,1,3,2,0,0.349
2184,70.4893,116,34.89,22,3,88,1,2,-3,4,7,0,0.51
2173,98.1529,162,30.07,12,1,92.31,2,1,5,5,0,0,0.966
2173,41.9389,69,57.59,13,4,76.47,4,3,-3,0,3,0,0.139
2168,71.4908,118,41.47,23,1,95.83,1,1,2,5,3,0,0.471
2156,88.1965,147,32.24,26,1,96.3,0,8,1,2,1,0,0.643
2147,84.7874,142,30.54,14,2,87.5,5,2,2,4,2,0,0.791
2139,96.5232,162,36.31,18,5,78.26,2,3,2,4,2,0,0.785
2133,84.9418,143,36.55,14,8,63.64,2,3,1,4,3,0,0.558
2131,94.4824,159,33.47,11,8,57.89,7,4,2,3,1,0,1.006
2126,56.7469,96,36.42,20,2,90.91,3,0,1,5,4,0,0.193
2122,93.9993,159,32.12,16,3,84.21,2,1,-1,2,3,0,1.191
2119,67.7711,115,40.13,25,6,80.65,3,1,-1,1,2,0,0.319
2113,104.7708,178,30.89,11,4,73.33,8,2,-1,3,4,0,1.277
2113,90.1533,153,35.9,13,6,68.42,3,3,-1,3,4,0,0.675
2112,96.9844,165,34.61,14,0,100,2,2,0,4,4,0,0.473
2108,90.7868,155,34.39,14,1,93.33,2,1,7,7,0,0,0.72
2108,62.6918,107,37.7,21,1,95.45,0,4,3,6,3,0,0.298
2100,90.3371,154,37.36,8,6,57.14,5,1,4,6,2,0,0.73
2082,73.374,126,34.45,16,4,80,4,1,0,1,1,0,0.549
2078,84.5985,146,38.52,15,6,71.43,2,1,2,4,2,0,0.7
2076,94.3593,163,38.6,17,3,85,5,2,-2,2,4,0,0.871
2075,41.195,71,43.35,22,1,95.65,0,1,2,5,3,0,0.131
2074,83.0423,144,35.37,15,6,71.43,1,0,6,8,2,0,1.053
2072,63.9154,111,36.69,12,1,92.31,0,0,1,1,0,0,0.196
2061,79.286,138,37.5,11,3,78.57,1,1,2,5,3,0,0.637
2058,111.0318,194,42.19,12,6,66.67,4,1,-1,4,5,0,0.718
2055,45.9687,80,38.97,15,3,83.33,1,4,0,3,3,0,0.075
2038,88.3172,156,32.54,3,5,37.5,2,2,3,5,2,0,0.648
2017,86.2271,153,32.9,12,9,57.14,3,3,0,2,2,0,0.89
2008,82.6242,148,30.88,15,5,75,3,1,-1,4,5,0,0.909
1991,211.4365,382,37.46,36,0,100,2,4,2,4,2,0,2.322
1989,83.5096,151,32.48,23,5,82.14,3,2,4,7,3,0,0.661
1985,80.3645,145,33.46,15,2,88.24,4,4,-6,1,7,0,0.5
1972,80.7222,147,35.32,16,9,64,2,3,7,7,0,0,0.731
1972,39.2505,71,40,14,3,82.35,4,1,-5,0,5,0,0.133
1967,68.0515,124,32.74,19,0,100,2,2,1,5,4,0,0.248
1957,79.7113,146,33.91,14,6,70,4,0,-3,2,5,0,0.494
1945,123.8923,229,30.55,17,1,94.44,0,0,2,7,5,0,1.424
1938,74.3193,138,31.42,25,3,89.29,1,3,0,1,1,0,0.651
1935,81.8963,152,30.66,19,2,90.48,2,2,-3,4,7,0,0.808
1913,73.8595,138,36.12,16,1,94.12,1,2,-3,4,7,0,0.387
1911,84.9576,160,36.05,22,1,95.65,2,3,1,5,4,0,0.735
1902,72.0576,136,30.8,13,3,81.25,1,0,5,10,5,0,0.322
1896,93.4103,177,39.89,10,4,71.43,3,5,1,4,3,0,0.653
1894,61.9452,117,35.6,4,1,80,1,1,2,3,1,0,0.311
1891,47.0915,89,41.81,14,2,87.5,2,0,-2,2,4,0,0.112
1889,77.5213,147,31.1,22,2,91.67,6,2,5,8,3,0,0.759
1882,45.1968,86,42.28,7,3,70,2,2,-1,1,2,0,0.209
1871,41.9714,80,41.52,13,3,81.25,2,0,-1,4,5,0,0.088
1860,62.7939,121,35.54,19,5,79.17,0,0,0,1,1,0,0.264
1855,72.2517,140,30.11,13,1,92.86,0,2,-1,4,5,0,0.519
1846,99.4005,193,31.67,9,1,90,0,0,-1,2,3,0,0.579
1842,59.5668,116,38.8,8,1,88.89,0,0,2,3,1,0,0.284
1837,43.5444,85,40.48,19,4,82.61,0,1,0,4,4,0,0.117
1832,68.574,134,35.94,19,2,90.48,3,4,1,4,3,0,0.421
1827,69.317,136,35.15,10,1,90.91,1,0,5,8,3,0,0.56
1818,62.2064,123,37.82,16,4,80,2,1,5,5,0,0,0.306
1812,73.4837,145,33.46,14,4,77.78,0,2,-1,4,5,0,0.174
1809,74.6808,148,30.5,17,1,94.44,2,3,0,4,4,0,0.263
1806,72.1764,143,33.05,13,2,86.67,3,1,-6,0,6,0,0.407
1806,40.8276,81,44.14,15,1,93.75,4,1,-3,1,4,0,0.084
1805,41.6253,83,36.42,21,0,100,3,1,-2,1,3,0,0.118
1799,75.1061,150,34.36,13,4,76.47,1,1,-1,4,5,0,0.273
1799,42.3007,84,44.73,17,3,85,2,0,1,4,3,0,0.208
1790,35.1632,70,40.22,12,0,100,4,2,2,4,2,0,0.06
1786,40.4326,81,42.45,11,2,84.62,1,0,0,2,2,0,0.079
1781,37.608,76,43.94,20,2,90.91,3,1,1,2,1,0,0.065
1779,85.2728,172,35.57,13,2,86.67,0,4,6,9,3,0,0.542
1772,71.8828,146,31.75,21,0,100,1,4,0,3,3,0,0.417
1766,66.5898,135,32.05,14,3,82.35,1,0,0,3,3,0,0.316
1764,70.6749,144,36.52,13,3,81.25,2,0,-5,1,6,0,0.323
1763,61.9905,126,38.88,7,2,77.78,2,0,1,2,1,0,0.225
1762,114.0647,233,37.74,28,1,96.55,4,2,7,11,4,0,1.063
1757,64.3556,131,30.92,6,2,75,3,2,1,5,4,0,0.244
1749,63.9198,131,34.3,9,3,75,3,0,1,4,3,0,0.509
1745,32.688,67,43.55,16,2,88.89,3,0,-2,0,2,0,0.066
1742,44.2459,91,39.02,25,5,83.33,3,0,3,6,3,0,0.252
1716,34.661,72,39.04,11,0,100,2,0,-3,1,4,0,0.072
1714,75.8877,159,33.04,15,2,88.24,0,2,-1,5,6,0,0.371
1709,69.6093,146,35.84,18,6,75,3,2,-8,0,8,0,0.302
1708,100.8112,212,31.17,18,2,90,4,0,1,5,4,0,1.076
1698,71.7757,152,33.65,11,2,84.62,0,6,-5,2,7,0,0.259
1690,79.6372,169,32.82,18,2,90,4,2,-3,3,6,0,0.564
1682,72.2225,154,31.77,14,3,82.35,5,2,1,3,2,0,0.824
1681,34.8569,74,42.27,16,0,100,2,1,-3,1,4,0,0.184
1681,32.7672,70,44.27,33,2,94.29,6,9,-12,0,12,1,0.31
1673,66.6666,143,33.07,22,3,88,2,4,-1,3,4,0,0.411
1649,73.9644,161,33.94,16,3,84.21,3,3,1,5,4,0,0.403
1648,40.2351,87,37.28,10,0,100,2,3,2,2,0,0,0.189
1643,41.1025,90,35.91,15,2,88.24,1,0,1,4,3,0,0.158
1643,38.351,84,41.58,11,0,100,1,2,1,1,0,0,0.107
1637,69.3156,152,34.4,13,12,52,2,0,2,7,5,0,1.805
1636,33.7564,74,41.53,12,0,100,2,3,-5,4,9,0,0.334
1631,61.692,136,32.76,8,1,88.89,1,0,0,0,0,0,0.255
1631,31.9799,70,40.29,12,0,100,1,1,1,5,4,0,0.188
1610,39.0479,87,38.46,8,2,80,2,0,1,3,2,0,0.225
1608,70.7709,158,33.29,20,3,86.96,1,1,-2,7,9,0,0.421
1600,61.0347,137,31.48,13,1,92.86,5,2,2,5,3,0,0.312
1590,33.0884,74,41.13,12,3,80,5,1,-3,0,3,0,0.065
1586,64.3244,146,34.67,20,0,100,1,3,-3,2,5,0,0.289
1578,118.1722,269,36.14,13,3,81.25,1,2,3,3,0,0,2.066
1577,51.6376,117,35.22,11,1,91.67,0,5,1,2,1,0,0.288
1577,64.496,147,32.56,8,1,88.89,2,1,2,3,1,0,0.31
1574,35.9825,82,42.86,22,1,95.65,2,2,0,2,2,0,0.354
1566,33.198,76,41.93,14,2,87.5,2,0,-1,2,3,0,0.047
1565,58.4116,134,31.89,13,0,100,1,0,-1,3,4,0,0.33
1562,68.7855,158,33.51,10,2,83.33,3,3,3,6,3,0,0.329
1554,40.3083,93,39.6,15,2,88.24,2,0,-3,1,4,0,0.245
1551,33.085,76,44.95,15,1,93.75,4,1,-3,2,5,0,0.076
1546,39.6308,92,45.51,24,1,96,1,0,0,1,1,0,0.187
1515,50.6083,120,37.22,7,6,53.85,2,1,1,4,3,0,0.286
1510,53.6523,127,29.67,8,2,80,2,2,-4,0,4,0,0.179
1504,52.8642,126,40.01,11,2,84.62,1,0,-2,1,3,0,0.324
1502,31.9669,76,39.4,12,3,80,6,4,0,0,0,0,0.104
1490,62.0036,149,34.76,11,3,78.57,2,1,-1,4,5,0,0.466
1479,50.1609,122,36.64,10,2,83.33,2,2,-3,0,3,0,0.305
1458,69.7959,172,33.62,19,1,95,2,2,5,5,0,0,0.331
1444,54.1341,134,37.25,10,3,76.92,0,1,-2,4,6,0,0.287
1444,51.0155,127,39.39,13,0,100,0,0,1,3,2,0,0.217
1441,32.3594,80,37,8,1,88.89,0,0,0,1,1,0,0.083
1434,52.0509,130,33.24,9,1,90,1,0,0,4,4,0,0.224
1431,37.2348,93,37.85,11,2,84.62,3,0,-2,1,3,0,0.083
1423,68.4571,173,33.9,12,0,100,0,0,2,3,1,0,0.483
1420,53.0679,134,34.24,18,3,85.71,6,2,4,5,1,0,0.311
1408,55.9939,143,32.76,11,2,84.62,2,3,-1,2,3,0,0.425
1398,146.0735,376,39.51,20,1,95.24,2,1,0,5,5,8,2.125
1398,29.9194,77,39.51,14,2,87.5,0,1,-4,0,4,0,0.148
1393,27.6315,71,39.31,7,1,87.5,0,0,0,0,0,0,0.041
1389,34.273,88,41.33,4,1,80,0,0,0,2,2,0,0.16
1386,148.9015,386,38.29,25,3,89.29,2,6,3,5,2,0,2.436
1381,37.2801,97,36.62,4,1,80,1,0,-1,0,1,0,0.321
1380,55.0676,143,33.34,14,1,93.33,0,4,1,1,0,0,0.218
1377,63.7183,166,32.86,8,5,61.54,0,1,4,4,0,0,0.631
1375,64.5905,169,32.77,20,0,100,1,1,5,10,5,0,0.587
1374,45.8559,120,34.78,9,4,69.23,2,0,-2,1,3,0,0.242
1374,59.218,155,32.24,15,0,100,6,0,-3,3,6,0,0.395
